Bus_Name,Comment,POS,NEG
Liên Hưng,"The service was very good, showed me to my seat, checked to see when I was getting off. The bed was uncomfortable, it didn’t go flat enough which means you can only really sleep on your back, not on your side or front. There was no linen on the bed, only a blanket. In addition when loading we had to wait 30 mins for the staff to move some cargo around before putting on our suitcases. They should have done our suitcases first so we could wait on the bus.",0.0044,0.9956
Liên Hưng,a huge number of stops. the drivers seem to be carrying illegal cargo. private houses stop to load luggage boxes without accompanying documents and then at various places in the villages they stop and unload. if you get off at a stop they constantly rush you faster faster and we already start moving you jump on while it's moving. cockroaches are running around in the bus. the bus itself is very unaesthetic.,0.0072,0.9928
Liên Hưng,The bus did not arrive at the time at the address. You stole our money,0.0005,0.9995
Liên Hưng,"The bus came later than was indicated in the ticket, it picked up us at 7:17am instead of 07:00 and near the road. And we arrived later than supposed to 1,5h, at 5:13pm instead of 3:30pm. The quality of bus is good, but the usb-c charger doesn’t work.",0.0044,0.9956
Liên Hưng,"It's a shame! It's a total disappointment! Nothing looks like the photos shown when I booked (modern, comfortable, spacious and well-equipped bus). Unfortunately we find ourselves in an old bus, broken screen, not very spacious and overloaded with people (more passengers than seats), some sleep on the floor in the corridor, the holds are full of goods so we have a lot of luggage in the already overloaded corridors. We will never take this bus company again. Run away!",0.0006,0.9994
Liên Hưng,Departure and arrival on time. New and clean bus The only downside is clogged toilet,0.0013,0.9987
Liên Hưng,"The bus last night was very shaky and wobbly, but the road wasn't in poor condition. Never take the last seat (or bed)—I'm not sure if it's because of the tail of the bus. I couldn't keep the sleeping posture and couldn't stand well in the toilet too. The driver also dropped everyone off 11 km away from the destination written on the ticket, so I had to spend an extra 50k on a Grab.",0.0006,0.9994
Liên Hưng,"The bus driver dropped us off 10 km before the end point of the route, and when we asked him to take us to the drop-off point, he offered to take a taxi, at my expense, of course. I had to order a taxi at night for 300,000 dongs, and I will never travel with this company again.",0.0023,0.9977
Liên Hưng,"The sleeping seats don't have belts so didn't feel really safe, specially when the bus was driving on bumpy roads. Difficult to get sleep.",0.0009,0.9991
Liên Hưng,It was ok,0.9998,0.0002
Liên Hưng,"Set off late but still arrived before schedule. Beds were spacious and bus one of the modern ones, the trip was good value for money.",0.9955,0.0045
Liên Hưng,"The conditioner was not closing fully, so it was very cold during the trip. All other things were great",0.0462,0.9538
Liên Hưng,Very nice driver👍🏼,0.9999,1e-04
Liên Hưng,"I enjoyed the trip with this company. The beds are nice and the price is good. I forgot my powerbank. I wrote an email to Vexere, and quickly got an answer. The driver found it and I went to the bus station in Da Nang to get it.",0.9465,0.0535
Liên Hưng,"Previous one was awful, but these are much much better. Everything is better, but model is the same. In a much better condition. Stuff is also better, friendly and cares. May be it bacuse this bus doesn't have a discount. I don't know.",0.5503,0.4497
Liên Hưng,"The seat bed not comfortable, in addition to not clear information we arrive bus station and spend time to found our bus plus the bus station not check the people after rest point",0.0005,0.9995
Liên Hưng,"I was in the very back seat on the lower part. It was a very rough ride. This was my fault for booking late. But what made the trip terrible is the Russian man above me kept smoking cigarettes. I almost had to gag the entire 10 hours. Very unpleasant. They should enforce the smoking rule. If you smoke on the bus, you leave the bus immediately. That should be the consequence.",0.0007,0.9993
Liên Hưng,"Very bad trip. Bus late for 1h on pickup, we stops 50 times at night to get big boxes for a strange people. Route wasn't straight, they get out from a route to get that boxes from many people. Viets slips on a floor of that tiny bus. So you need to step on their head. Awful trip for 400k. Awful Vietnamese service.",0.0003,0.9997
Liên Hưng,"Great service by Lien Buslines, we booked a vip 20p bus, the seats were really comfortable and had all the amenities, we were picked from their office and dropped to da nang bus stand.",0.9671,0.0329
Liên Hưng,it was too cold bc of A/C. and I got sick. but other things was good,0.9961,0.0039
Liên Hưng,Everything was Perfect. Very confortable.,0.9996,0.0004
Liên Hưng,"Not much space in the bus itself and the beds. Me and my husband are quite tall so we were not super comfortable. That say the bus is created for vietnamies people so it's okej. It was also extremely cold in the bus and we didn't get any blankets first and my husband got sick :( Overall it was okej, we slept some, driver was driving smoothly.",0.0013,0.9987
Liên Hưng,"I carefully selected this company because the arriving time is 7:15am, this will give us a good night rest without having to get up at the wee hours walking on the cold streets. Unfortunately, our family were called up and it was only 4am, it had arrived too early. We had to book a new hotel with extra cost, we had to was on the streets in the cold wind with my family, more over, the driver and assistants were very loud chatting along the way, no regard to the passengers trying to get rest. Overall this is very awful experience, I would totally recommend against for family travel with this company",0.0027,0.9973
Liên Hưng,"I had a bus from Da Nang 8:00 pm to Nha Trang 7:00am I expected at least one stop on the road so we can have dinner or something but the bus didn't make any stops. and The staff didn't speak English, also the bus doesn't really get you to drop off the location but it stops out of the city then another van comes to pick you up and drives you to the city with no one to explain the process to you.",0.0009,0.9991
Liên Hưng,"Well organized, but the driver was too motivated and driving very fast, which made a shaking ride for us. In the end we arrived 30 minutes unnessecary early",0.0181,0.9819
Liên Hưng,Well organized and on-time. Bus and cabin were well equipped. The drive however was uneven and it was more difficult to sleep than previous experiences.,0.0058,0.9942
Liên Hưng,"The bus was right in time, everything inside (wifi, usb socket, toilet) worked perfectly. The only thing to improve is the driver's amenity",0.012,0.988
Liên Hưng,Worst customer service ever and way overpriced.,0.0002,0.9998
Liên Hưng,The ride was terrible. There were people lying on the floor and the driver was rude.,0.0003,0.9997
Liên Hưng,"Used in January 2025. Traveled from Hoi An to Nha Trang. The bus was comfortable and clean. It was bumpy, but that is inevitable because of the road. However, there was a problem when moving from Nha Trang bus depot to near Nha Trang train station. The shuttle driver for the trip yelled and handled my bag roughly. I am not sensitive to kindness. It was clearly coercion. If the staff had a normal attitude, it would have been a more satisfactory experience.",0.004,0.996
Liên Hưng,"The worst trip I’ve ever had Absolutely not safe driving , it’s going on high speed, so you feel scared The drivers were smoking right inside the cabin , so it was always lack of air , I feel sick, also had a headache because of it. I asked drivers not to smoke inside , they didn’t stop doing it , just were trying to hide it Also our plans have changed , because we came 4 hours late !!! But still drivers stopped like every 30 minutes , don’t know on what purpose but seems they were keeping purchases from other places , because our belongings that were in luggage place smell so bad , I guess it’s the smell of dead chicken or something like this Overall, it was dangerous, too fast , we were late and it was not pleasant inside the bus",0.0004,0.9996
Liên Hưng,"It was the worst bus ride in Vietnam. The bus was late, stopped for no reason very often and stood for a long time. As a result, we arrived 4 hours later. Things after the luggage compartment stink",0.0005,0.9995
Liên Hưng,"The company's bus was so shabby that it stopped Again and again on the way from Nha Trang to Hoi An. At last the bus couldn’t move anymore. We had been waiting for hours, and there was no other bus sent to pick us up. Try to avoid taking this crappy company bus.",0.0003,0.9997
Liên Hưng,Everything was as expected,0.7742,0.2258
Liên Hưng,"First time with Lien Hung and what an amazing experience! It was so cool. Worth putting your money in comfort, what a comfort, in Asia, specially in long distances such as +10 hours. Really good experience",0.9999,1e-04
Liên Hưng,"It was a terrible trip. Charging for the phone did not work, all the drivers were rude, shouted, did not want to help, did not even want to listen, immediately told to leave. Racists. What should I do without charging for my phone in an unfamiliar city? There were also people lying in the aisles... We just picked them up by the road and put them on the floor. I think it's not official. Terrible trip, I don't recommend this company. Look for someone better.",0.0003,0.9997
Liên Hưng,"the transfer picked us up an hour late, but the trip was comfortable overall",0.9997,0.0003
Liên Hưng,"It's the worst bus company I've ever used. 12h from HCMC to Nha Trang. They say it's because of the traffic jams, but actually, the bus made millions of stops on the way. The company compensated 20% of tickets' price but no one can refund the time spent. Don't recommend it to anyone.",0.0012,0.9988
Liên Hưng,"Horrible. Stay away! The bus was not the one described during the booking procedure. It’s rather a truck transporting goods from point A to point B stopping on every corner rather than a bus for people. The staff is rude, the whole bus has to wait for them to smoke, eat, drink, piss and whatever they do. I guess judging by the other reviews it’s how it goes with this company…",0.0003,0.9997
Liên Hưng,"Bus driver thought he was Lewis Hamilton swinging the bus round corners also was f*cking trigger happy with horn I got about 1 hour of sleep for a ‘vip’ bus I had an awful time, next time I think I’ll just walk",0.0084,0.9916
Liên Hưng,"The driver was driving like crazy, smoking in the car the whole way. The toilet was dirty, the water didn't work. We were taken off the bus early and weren't given another bus to Nha Trang.",0.0014,0.9986
Liên Hưng,"Smelled like a fish market in the bus. However, the bus got me from danang to nha trang which is the main purpose and the job was done. The driver also waited for me 5-10 mins because I was running late. I would have given 3 stars for the smell but giving 4 stars just because they waited for me when i was late.",0.0036,0.9964
Liên Hưng,"Experience was awful. Feel like i participate in bulk freight delivery, not vip sleepbus route. Many stops for boxes loading, route is far not optimal. We are late comparing to claimed timings. Toilet is broken, no soap. I cant understand why its so bad.",0.0002,0.9998
Liên Hưng,Everything was good except on this bus they didn’t provide a separate pillow and only 1 bottle of water after asking. But the seat is great as always,0.9993,0.0007
Liên Hưng,"The bus has no WC but smells like a toilet. They didn't give me a bottle of water. When I asked for the Wi-Fi password, they said there was no internet. The drivers smoked while driving. They didn't stop at the cafe. When I asked about the toilet, they just stopped the bus in a field. I'm shocked. What kind of service is this? Why passengers can't go to the toilet normally for 10 hours? It's a mockery of people. I used to travel with this company often. But after this trip, I will choose other companies. This is the worst travel experience.",0.0003,0.9997
Liên Hưng,Horrible! The driver was constantly smoking on the bus and drove as if he wasn't carrying people. I don't recommend traveling with this company!,0.0008,0.9992
Liên Hưng,"It was hard because the staff smoked often while driving. The bathroom on the bus says no smoking, but it is not desirable for employees to smoke on the bus. The seats were comfortable.",0.8732,0.1268
Liên Hưng,"Hello. I never got to my stop. The bus was supposed to arrive at 06:30 at my stop and drop me off. At 5:20, I saw on the map that the bus had long passed my stop. When I told the driver about this, he dropped me off after 3 minutes and transferred me to another bus, which traveled for 5 minutes and then dropped me off at the nearest bus station. I had to get to the city by myself. The bus itself is uncomfortable, and bus company employees were sleeping in the aisles.",0.0008,0.9992
Liên Hưng,"Was ok. Da Nang to Cam Ranh. Had no alternative options at this time. My 1st overnight bus experience. Got some sleep but it’s bumpy, lots of hooting and speeding and slowing down etc. but to be expected. Somewhat chaotic with departure. The bus driver and ‘manager’ was pretty rude. Insistent that I get of at a stop I wasn’t meant to. Took some convincing and showing my e-ticket several times. As clean as can be expected. The loo a bit of a challenge the longer the trip goes. Arrived 30min earlier.",0.0045,0.9955
Liên Hưng,From Ho Chi Minh to Nha Trang everything was good as always,0.9998,0.0002
Liên Hưng,"The trip was fine, the seat is comfortable, but someone was smoking on the bus which made the trip uncomfortable.",0.0025,0.9975
Liên Hưng,Bus seat is very comfortable but the shuttle service can be improved,0.9948,0.0052
Liên Hưng,the vehicle has loudly noise cant sleep,0.0152,0.9848
Liên Hưng,Solid trip! Bus makes some heavy turns though,0.9979,0.0021
Liên Hưng,Traveled with Lien Hung. It was very cold on the bus. Horrible Vietnamese music was playing loudly. They dropped us off where they weren't supposed to. I do not recommend this company to anyone.,0.0017,0.9983
Liên Hưng,"the driver is driving and constantly honking, the bus was 1 hour late at the beginning of the journey, then we stood for a long time, the staff swore among themselves",0.0355,0.9645
Liên Hưng,All It is ok. To Nha trang drive on sleep bus to the office. From the office drive to Limousine.,0.9929,0.0071
Liên Hưng,"Overall, everything is fine, I was waiting for the toilet stop, but it never happened and I fell asleep.",0.0025,0.9975
Liên Hưng,"Nice comfortable bus, but journey starts with mini bus that drives yiu far away from city to big bis - it was not mentioned.",0.0392,0.9608
Liên Hưng,The driver and assistant very unfriendly and also put all the people's bags on my guitar in soft case. Very stupid and unfriendly.,0.0006,0.9994
Liên Hưng,"the driver and staff smoked inside the bus , there was a very unpleasant smell inside the bus",0.0007,0.9993
Liên Hưng,"USB not working for a 10 hours drive. Tv not working. ""Personal"" light not working. No sandals provided for stops. Fast driver.",0.0005,0.9995
Liên Hưng,"Goats in the bus, dirty and loud. Our backpacks were wet.",0.0004,0.9996
Liên Hưng,"Cabine itself was comfortable for me, soft bed, good size for legs, possible to turn off AC and light for comfort sleep. Bus was on time. Bad things that they had us to take our luggage into the cabine and it wasn't comfortable to sleep with it. Also bus firstly was doing a lot of stops and one very long stop like he did a pepair on the way, and after he started to move very fast and careless, not convenient. In the toilet was no toilet paper and no water in the sink.",0.0037,0.9963
Liên Hưng,I traveled to Da Nang and back to Nha Trang on these buses. The first bus arrived 20 minutes late. From Da Nang the driver wanted to leave earlier than scheduled and wrote that he would not wait. I am attaching a screenshot of the correspondence.,0.0119,0.9881
Liên Hưng,"The driver always di di di, and always annoyed.",0.0014,0.9986
Liên Hưng,"Except the arrival time 1 hrs delay, everything is good!",0.9998,0.0002
Liên Hưng,"This was an awful experience with the bus from Saigon to Nha Trang. We boarded at 8:30 in the morning and didn’t arrive until nearly 6:30 pm. The driver made multiple stops to pick up random luggage, and at one point, we were held up for nearly 30 minutes while he walked down the aisle, opening curtains to look for someone. Overall, it was extremely unprofessional, unreliable, and a very disappointing experience.",0.0003,0.9997
Liên Hưng,"Arrived 1.5 hours later than the appointed time, went to Ho Chi Minh to the airport. I do not recommend",0.0152,0.9848
Liên Hưng,The driver made some wild turns and the inside lights kept turning on and off which made it hard to sleep. All the amenities worked and got to my destination on time,0.0105,0.9895
Liên Hưng,"The bus from Ben Tre to Nha Trang was on time, very clean and comfortable, the ride was pleasant and the staff was good. They stopped a few times for the toilet break and the driver came to us every time to told us. They also came to us and notified us when it was our time to get out. We didn't like that it was unclear where the bus is departing from - it was not said it was outside the bus terminal so we came there by accident because I was tracking the position of the bus and saw it should be here. One big minus is that they didn't write anywhere that the bus is not going to Nha Trang bus station but it stops 12 km outside of town. There was a small bus that came and took us to the bus station (he knew where we are going, it was for free, so it is a part of the ride), but no one told us that. Grab driver arrived and was annoying with too expensive price, and no one told us we should just wait a little bit. When I asked why we are here, so far away, and not at the bus station for what we paid, they didn't say anything. Then the mini bus arrived. Other than that, I don't have any complaints, but with this situation I didn't feel comfortable and it made me angry.",0.007,0.993
Liên Hưng,"The mobile charging for type C cable was malfunctioned for all seats, water bottles were not provided, driver NOT stopping for toilet use for 4hours continued driving.., frequent smoking habit of drivers while driving,,language problems..Bla!Bla!!Bla!!!",0.0011,0.9989
Liên Hưng,"As always, com earlier then schedule. Don’t let us put our baggage in trunk.",0.0063,0.9937
Liên Hưng,the car is cool,0.9997,0.0003
Liên Hưng,It was a horrible journey. The Bus driver didn't stop at Kon Tum even after I have my ticket and it was written that my destination is Kon Tum bus stop. He also asked me again about my destination one more time before starting the bus. He dropped me 4km away from the bus stop in the middle of the night where no other transportation were to be found. Such a aweful experience in Vietnam. These guys are so frustrated that they don't have manners and don't have the will to do their job properly.,0.0021,0.9979
Liên Hưng,They literally put my bag on a PIG CAGE! Lights and charger spots did not work. They were late and stuff kept yelling as if it us was my fault they could not arrive in time. The worst sleep bus experience so far.,0.0002,0.9998
Liên Hưng,"All was good, but the air conditioner deflectors above the seat didn't close full and it blew all the time;)",0.0122,0.9878
Liên Hưng,All was good except that they don't tell when will be your stop or may be couldn't understand that. We've passed out stop. But good news is that the staff helped us go back to our stop with another bus.,0.9968,0.0032
Liên Hưng,"They did not stop and made the guests chase the bus to get on the bus. For their own convenience, they drop off the guests on the national highway. The walkway of the bus were lying full of people.",0.0024,0.9976
Liên Hưng,"the toilet doesn't lock! the driver honked all night - no sleep, nothing! the driving level is terrible, constantly some kind of racing and sudden braking... I don't recommend taking this route at least!!!",0.0061,0.9939
Liên Hưng,"진심 최악입니다 버스 기사기 10시간동안 담배를 계속 핍니다 그 연기는 에어컨 통로를 타고 바로 좌석으로 배달됩니다^^ 담배로 하는 12시간 화생방을 경험하고 싶으면 타보세요 NEVER TRY THIS BUS The driver was smoking all the time, So Smoking smell come through the airconditioner. If you get this bus, maybe your lifetime is gonna be shorter than before you get this bus.",0.0079,0.9921
Liên Hưng,The trip was great. The bus crew was very friendly and professional.,0.9998,0.0002
Liên Hưng,"The driver drove past my house and did not stop, although I asked him about it in advance and he had already dropped off passengers where they asked him to. I have traveled this road many times with other carriers and my request to stop was never refused. We did not have any luggage, he just had to slow down so that we could get off the bus. But this driver ignored my request and provoked a conflict. Because the driver did not stop at my house, I was forced to spend a lot of extra time and money to return home from the station. Our mood was spoiled.",0.0007,0.9993
Liên Hưng,Complicated logistics to/from bus. Driver was insane and reckless. Arrival time is 2 hours earlier that scheduled,0.0028,0.9972
Liên Hưng,They dont speak english,0.0009,0.9991
Liên Hưng,I liked everything. But it was very cold. We need to make it a little warmer here. And please check the toilet door. Thanks for the ride!,0.0076,0.9924
Liên Hưng,"Unfortunately driver was quite rude. Anyway, he delivered us safe from A to B. That's why 4 stars. P.S. There was no WC in a bus🫠 Be ready to pee somewhere in the middle of the road.",0.0073,0.9927
Liên Hưng,Staff not friendly to foreigners but got from A to B everything secure.,0.9762,0.0238
Liên Hưng,people were lying in the aisle and riding without a seat,0.0005,0.9995
Liên Hưng,"Had problem, but no one answer in Zalo",0.001,0.999
Liên Hưng,"The driver kept turning on the lights at night, not letting me sleep. At 00:15 he stopped at a cafe and turned off the air conditioner. The bus is dirty and old.",0.0007,0.9993
Liên Hưng,paid in the bus to driver please Check it out,0.9928,0.0072
Liên Hưng,"Mostly good. Picked up on time. The shuttle bus took us to the main bus. A few people had to stand on the shuttle bus, which was about 10 min. The main bus was clean. The air con worked well. A thin soft blanket was provided. There was no linen or pillow but it was ok. The toilet was clean. It was my first time on a bus and I took a while to fall asleep. It would be nicer if the suspension was softer and there were less maneuvers, but it was ok. Much longer than a plane, but much cheaper and it's an experience, watching Vietnam at night and in the morning.",0.9713,0.0287
Liên Hưng,"The bus condition was good, but the bus drivers and officials were so unfriendly and unpleasant~~ In particular, I frowned and customer service was terrible while repenting loudly to foreigners. All the grateful and happy memories of Vietnam have disappeared because of them. I think employee training is necessary for Vietnam's more advanced tourism industry. I hope your company will develop further.",0.0085,0.9915
Liên Hưng,"Mixed experience after this trip. The bus itself was not poorly cleaned and there are no complaints about it. But it wouldn’t hurt for the staff to be friendly with customers - I couldn’t find the seat back adjustment and wanted to ask the employee in the bus how the back was adjusted, to which he simply answered “NO!” and refused to help - for this I lost a point (later I found the adjustment myself). And another minus point for the fact that the staff smoked a lot and all the smoke was drawn into the cabin, and the driver was constantly honking like crazy. The rest of the trip went fine.",0.0777,0.9223
Liên Hưng,"The bus was arrived not at 8:30 but at 5:30!! Driver was driving too crazy and he put off all usb chargers and lamps in cabins. For what I am paying? For your economy? And driver have took some cargo on the way, so all our baggage he put inside of the bus.",0.0017,0.9983
Liên Hưng,"First of all, all passenger were waiting sleep bus at destination time at destination place. But no one arrived. At 20:45 only little bus arrived. It was transition bus. Some people drove standing in the transition bus. We arrived to pickup point of sleep bus. The drivers started to shout out on each other. We sitted on your places and started to move. Some minutes later we stopped and our drivers started to pick up some boxes into bus. Those boxes was placed in luggage zone and in bus interior. Also bus driver smoked and beeps a lot while driving. And driving skill was awful. I would like you to check the quality of service of this bus company and make a partial or full refund for this trip experience",0.0059,0.9941
Liên Hưng,The pillow is not comfortable and the cover is too thin! Friendly and helpful staffs though,0.0038,0.9962
Liên Hưng,"The trip is disgusting in every way. I was in a hurry to get to the appointed time, but departure took place only half an hour later. we were put in a minibus and taken out of town to a big bus. the drivers communicate rudely, the bus smells of urine, stops are made only to pick up people and put them on board - why the hell are these people traveling here? Is this even legal?",0.0008,0.9992
Liên Hưng,"It was good experience, bus arrived on time",0.9959,0.0041
Liên Hưng,"We've never had a more terrible trip. The drivers sang songs and watched football all night. They were smoking right in the cabin. It feels like friends met to celebrate the holiday with a feast, and decided to entertain the passengers. There were three people lying in the aisle, so it was very difficult to get to the toilet, especially with a small child in her arms. This is the first time in our lives we have seen such a service. But thank God that we were taken safely.",0.9863,0.0137
Liên Hưng,"Seat is quite small, but ok. Many stops along the way. Sanitary stop in the middle of the road, why don’t you stop on the gas station so people can visit normal WC?",0.5985,0.4015
Liên Hưng,"The smoke—filled air with the smell of cigarettes and toilet made a feeling the lack of air. I couldn't breathe. The air filtration system doesn't work properly, seems that driver smoked all the way, but never stopped the bus to smoke outside. The toilet was overflowing really fast so when you press the button, the sewage pour out. The bus doesn't follow the schedule mentioned in the ticket so our trip started later but we arrived 2 HOURS earlier. We've been through 13 hours of hell from Nhà Trang to Da Nang!",0.0055,0.9945
Liên Hưng,"Someone slept in the middle of the corridor right next to my seat position, among other things it made very inconvenient going to the WC, because you cannot get out without bothering man sleeping in the corridor",0.002,0.998
Liên Hưng,The worst experience,0.0002,0.9998
Liên Hưng,"Driver is awful, constantly braked sharply and honked, impossible to sleep",0.0069,0.9931
Liên Hưng,I had 4 trips with this company and every trip was awful. I was very confused by the strangers lying at the floor (during EVERY trip). Also we didn’t have any stop during all the trips. It would be much better if the company stopped to take those strangers without tickets.,0.0006,0.9994
Liên Hưng,"Departure on time, but that's where the positives ended. the driver smoked constantly, the bus shook very much on the road. There were 3 people in the aisle without a seat, it was impossible to get to the toilet. It was very cold in the cabin, even with the air conditioner closed. There's a puddle in the toilet.",0.0025,0.9975
Liên Hưng,"It was good trip, but bus was late. All is very good)recomedition👌",0.9872,0.0128
Liên Hưng,"A part of the seat was broken, toilet did not work, during 8 hours trip we didn't have any stop. Also the driver was very agressive and drove the bus very fast (we couldn't sleep because of very fast driving — we were constantly tossed from one side to another side). And also someone was lying in the passage near me.",0.0029,0.9971
Liên Hưng,"It’s not written anywhere that you need to do a lot of transplants. First, we were taken on a small bus for an hour to the slipbus; at 4 am we were asked to get off and wait for another bus. The little sit-down bus arrived again. Then, at some market, we picked up two people who smelled strongly of fish. I paid money for comfort, but didn’t get it",0.0023,0.9977
Liên Hưng,"Terrible! The AC compartment above my head was broken, so I was freezing all night. The drive was rude, wouldn't look at my translator to help communicate, toilet onboard wasn't working, first toilet stop, they denied us to use the toilet, second toilet stop was appalling. When we arrived in Da Nang, the driver told us to get off at the bus station, which was miles away from the city centre and I had booked to get off in the city centre. Luckily in the middle of all taxi drivers offering a ride, I realised there was a few minivans behind us and managed to find a kind person that would explain that they would drive us to the city centre (offer provided by the bus company). But this wasn't mentioned on my ticket or on the app. Very confusing",0.0019,0.9981
Liên Hưng,"Terrible driving, no toilet onboard, first toilet stop we were told to go to the bushes! Second stop was dirty squat style toilets.",0.0005,0.9995
Liên Hưng,your driver is a complete bastard! He pushed me off the bus 65 km away. to your destination! without explaining anything and hurt my hand! Bus number 50F-053.68 I'm a girl dropped off in the Vietnamese wilderness at night! I will destroy your company to smithereens! I will send this denunciation to all possible information resources about the activities of your company and the damn drivers! And tomorrow I will file a police report against your company for failure to comply with and fulfill obligations to the client and against your driver for causing physical damage!,0.0005,0.9995
Liên Hưng,"Very noisy because of the passengers. Drop-off location was incorrect, they dropped us off outside the city!",0.0012,0.9988
Liên Hưng,The back left bed window doesn’t close properly. Meaning there is light that comes in that can’t be blocked out. When I asked to switch seats there were plenty available. The staff shouted no over and over again. I was trying to be quiet (people sleeping) and just explain the window thing but the staff would not even look at me. The back bed is right near the toilet so you get to hear that all night long. This bed would be fine if it was offered at a discounted rate or something.,0.005,0.995
Liên Hưng,"They are liars! Be careful with this company, they cheat with the drop off location. It was indicated that we would be dropped off in the city center, but in the end at 6:50 we were woken up 40 minutes before the appointed stop and dropped off far from the city. Now passengers are forced to spend money and time traveling to their location and experience unnecessary stress.",0.0005,0.9995
Liên Hưng,"Everything was fine, but driver is rude",0.0137,0.9863
Liên Hưng,It's a pity that there was no toilet,0.025,0.975
Liên Hưng,"No communication, bags got wet from something in the cargo",0.0003,0.9997
Liên Hưng,Driver drives dangerously and badly He honks every minutes Very bad experience,0.0005,0.9995
Liên Hưng,"RAT THOAI MAI, AN TAM",0.1552,0.8448
Liên Hưng,The bus didn't arrive at the chosen drop-off point. After some negotiations at the company office me and several other passengers managed to convince the staff to give us a van that finally drove us to the chosen drop-off. The rest is okay,0.9987,0.0013
Liên Hưng,"very unpredictable. on the way to nha trang the bus was great - new, spacious and clean. the driving was smooth. however, from nha trang it was a trip from hell. the driver smoke inside, so the aircon was put on maximum. it still stank and also was absolutely freezing. the driving was psychotic, impossible to sleep. the ceiling was hanging above me, the duck tape failed to keep it place. when purchasing it said it was a new bus but in reality it was anything but.",0.0056,0.9944
Liên Hưng,"All is bad about this company. They changed the departure time 2 hours before departure to 30 mins earlier! Bus driver not accurate, listening to loud music at night and speaking so loins it was impossible to sleep He refused to drop me off at the expected location and I had to pay extra 150.000 to him to get to the drop off point",0.0003,0.9997
Liên Hưng,"it was terrible, the bus was shaking and it was driving through potholes, the toilet was littered with suitcases, there was water on the floor in the toilet, the drivers were smoking inside the bus, the air conditioner was blowing cold air from all the cracks",0.0006,0.9994
Liên Hưng,"Spacious seats (up to 180 cm is good - as usual in any public transport), decent driving, clean, nice toilet inside bus. The best sleep bus experience i had, don't choose other companies - this is the one to test this type of commute. Also they don't pick extra passengers to sleep on the floor as the other ""vip"" sleep buses companies - that's good. The only downside is that i picked Office drop point, but they left us at the Nha Trang bus station - which is okay, but don't forget to prepare some money for taxi (180-220k VND). Do not listen to taxi drivers on a station and order taxi straight from a InDrive - Grab is expensive, Maxim is cheaper but has bad service, so InDrive is the best option (you can also negotiate price with local taxi scammers using it, if you don't want to wait).",0.9858,0.0142
Liên Hưng,"The buses are clean and the seats are comfortable. But the driver was driving very agressively and honking a lot, which didn’t allow me to sleep the whole way. The driver also made a lot of stops to deliver goods. The driver also took fellow passengers who were lying right in the bus corridor, making it impossible to even go to the toilet. Because the driver made a lot of stops, he arrived late in Da Nang, so I was late for my meeting for which I went on this trip.",0.8583,0.1417
Liên Hưng,"The drop-off location does not match the actual location, and you have to take a taxi to get to Nha Trang city. Moreover, the driver drove very fast all night and honked the horn wildly, making it impossible to sleep.",0.0044,0.9956
Liên Hưng,"Generally clean coupes, but a little dirty under the bed (other passengers left some garbage and it wasn’t cleaned before our trip). Pluses: Complimentary water, quite helpful staff, new bus on Mercedes-Benz chassis (quiet and comfortable), stable wi-fi Minus: new drop-off station at Nha Trang is actually out of Nha Trang. Maybe it’s not operator responsibility, but really weird found myself at the middle of nowhere with predators (taxi drivers).",0.0042,0.9958
Liên Hưng,"We were traveling from Da Nang to Nha Trang. The bus arrived 2 hours earlier - at 4 a.m. The stop was not in Nha Trang itself, but on the highway to Cam Ranh outside the city. No one woke us up at night, we drove through the bus stop and were dropped off at night not at the bus stop, but on an empty highway in the dark. In the bus itself, people illegally picked up on the highway snored on the floor all night.",0.0008,0.9992
Liên Hưng,"Everything was fine, except for two things. Check-out was at 19:30. But around 19:00 they started calling me and rushing me. As a result, I arrived at 19:15 and we immediately left. What the hell?! And when I sat in my place and turned on the light, they brazenly opened my curtains and turned off the lamp at 9 o'clock in the evening.",0.0129,0.9871
Liên Hưng,"The bus is quite clean and comfortable, and the toilet is also not bad. But the driver sometimes smokes :<",0.9197,0.0803
Liên Hưng,"Even though the bus was delayed by more than 30 minutes, the staff didn't give the customer much notice. I was worried if I could get on. The inside of the bus was clean, but the smell of cigarettes crept up. Smoking and making noise on the sleeping bus is very shameful to people who have traveled from far away countries. It was the worst sleeping bus I ever took during my trip to Vietnam. + The staff are unkind and shouty",0.0025,0.9975
Liên Hưng,But didn’t reach point of destination,0.0013,0.9987
Liên Hưng,"The bus stopped 10 kilometers from the city, from where I had to travel further by taxi at my own expense. This bus does not call at Nha Trang, it travels along the highway further to Cam Ranh",0.0116,0.9884
Liên Hưng,"The ticket indicated that the company would take me to the city center of Nha Trang. As a result, we were dropped off on the outskirts of the city, and we had to pay an additional taxi for 154,000vnd.",0.0011,0.9989
Liên Hưng,It was more comfortable and nice than I thought.👍,0.9999,1e-04
Liên Hưng,Bus was brand new and arrived on time,0.9958,0.0042
Liên Hưng,"I was dropped off in a place unknown to me, without taking me to the final stop.",0.2598,0.7402
Liên Hưng,"all my bags in the luggage compartment are wet and smell something unpleasant, terrible",0.0011,0.9989
